ts,consumo_gas,producao,turno,gas/prod
2020-08-18 16:26:52,36.327020000000005,910.3047,TURNO 2,39.90644011834719
2020-08-18 16:31:47,25.31167,635.9086,TURNO 2,39.80394352270122
2020-08-18 16:36:54,25.3817,630.9096,TURNO 2,40.23032776803523
2020-08-18 16:41:50,25.26014,628.6182,TURNO 2,40.18359633876334
2020-08-18 16:46:46,24.77431,628.5908,TURNO 2,39.412460379630126
2020-08-18 16:51:52,24.79424,627.0151,TURNO 2,39.54329010577257
2020-08-18 16:56:47,24.799129999999998,626.6556,TURNO 2,39.57377864332497
2020-08-18 17:01:54,24.84873,623.8723,TURNO 2,39.829833765660055
2020-08-18 17:06:50,24.82246,627.1659999999999,TURNO 2,39.57877180842074
2020-08-18 17:11:46,24.8104,630.8002,TURNO 2,39.331629888513035
2020-08-18 17:16:52,24.821170000000002,630.3284,TURNO 2,39.37815589460986
2020-08-18 17:21:48,24.847820000000002,626.7859,TURNO 2,39.64323383790223
2020-08-18 17:26:54,24.86225,627.2554,TURNO 2,39.63656590282044
2020-08-18 17:31:50,24.91244,628.0023,TURNO 2,39.66934516004161
2020-08-18 17:36:48,24.87804,629.3612,TURNO 2,39.52903356609844
2020-08-18 17:41:55,24.860670000000002,627.8233,TURNO 2,39.59819586179742
2020-08-18 17:46:50,24.85964,623.6035,TURNO 2,39.86449723261656
2020-08-18 17:51:46,24.83824,620.7618,TURNO 2,40.01251365660709
2020-08-18 17:56:52,24.89256,618.0013,TURNO 2,40.27913857139136
2020-08-18 18:01:49,24.91152,617.9812,TURNO 2,40.311129205872284
2020-08-18 18:06:55,24.95526,625.7039,TURNO 2,39.8834976096521
2020-08-18 18:11:51,24.923370000000002,627.9283,TURNO 2,39.691426552999765
2020-08-18 18:16:47,25.17154,627.1735,TURNO 2,40.13489090339436
2020-08-18 18:21:53,25.557920000000003,627.9722,TURNO 2,40.6991264899943
2020-08-18 18:26:49,25.527929999999998,631.4217,TURNO 2,40.42928838207492
2020-08-18 18:31:56,25.55676,632.2416,TURNO 2,40.422458756272924
2020-08-18 18:36:51,25.601679999999998,631.9688,TURNO 2,40.51098725126936
2020-08-18 18:41:47,25.50401,633.7289,TURNO 2,40.24435369761424
2020-08-18 18:46:53,25.457539999999998,633.6902,TURNO 2,40.17347909120261
2020-08-18 18:51:49,25.43556,637.2935,TURNO 2,39.91184595480732
2020-08-18 18:56:55,24.95515,633.5464,TURNO 2,39.38961692466409
2020-08-18 19:01:51,25.30474,631.5065,TURNO 2,40.070434746119005
2020-08-18 19:06:47,25.45815,620.7825,TURNO 2,41.00977395464595
2020-08-18 19:11:53,25.41095,617.1692,TURNO 2,41.17339296905937
2020-08-18 19:16:49,25.469739999999998,614.6319,TURNO 2,41.439014148142974
